Date,Transaction Type,Sector,Amount ($),Security,Price,Quantity,Total Value ($),Sentiment
1/15/2024,Buy,Technology,5000,AI Tech Inc.,50,100,5000,Positive
1/16/2024,Sell,Financial,3000,FinGrowth LLC,30,100,3000,Negative
2/1/2024,Buy,Energy,7000,SolarWave Corp.,70,100,7000,Positive
2/5/2024,Dividend,Technology,200,AI Tech Inc.,—,—,200,Neutral
2/15/2024,Buy,Healthcare,10000,HealthPlus Inc.,100,100,10000,Positive
3/10/2024,Buy,Technology,3000,CloudData Inc.,150,20,3000,Positive
3/20/2024,Sell,Retail,4000,RetailX,40,100,4000,Negative
4/1/2024,Buy,Financial,8000,FinGrowth LLC,80,100,8000,Positive
4/15/2024,Dividend,Energy,150,SolarWave Corp.,—,—,150,Neutral
5/1/2024,Buy,Technology,2000,AI Tech Inc.,100,20,2000,Positive
